Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
5534,"Ah, must’ve been fairly obvious since it was the only thing left in your store.",Ross,neutral,557,1,8,21,"00:10:12,195","00:10:16,575"
5564,Yep! And lot’s of it!,Monica,positive,560,4,7,16,"00:20:19,218","00:20:21,969"
5565,Thanks sweetheart. Give me a little sugar here.  Okay.,Joey,positive,560,5,7,16,"00:20:23,472","00:20:27,975"
5582,Ow!,Joey,negative,561,14,1,5,"0:18:42,211","0:18:43,558"
5586,"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.",Joey,neutral,561,18,1,5,"00:18:52,256","00:18:58,261"
5603,Really?,Monica,positive,563,4,4,11,"00:21:39,673","00:21:41,924"
5604,Yes.  You’re not asking are you?,Rachel,positive,563,5,4,11,"0:21:45,679","0:21:47,281"
5622,"Oh, nobody's judging you.",Phoebe,neutral,565,3,5,12,"00:10:51,025","00:10:52,359"
5639,"Ross, umm, you've been in there for a long time. I'm starting to get kinda freaked out.",Elizabeth,negative,569,0,5,11,"00:16:07,925","00:16:13,096"
5646,"Okay, y'know what uh, actually, that's great. That helps a lot. Thanks.",Rachel,neutral,570,3,5,10,"00:13:40,236","00:13:44,864"
5655,"Okay, okay, we’re approaching the window  Thread the needle.",Joey,neutral,571,8,3,8,"00:20:56,380","00:21:05,513"
5658,"And yet, we’re still poking him.",Monica,negative,571,11,3,8,"00:21:15,983","00:21:18,401"
5666,Contraction!,Rachel,negative,572,3,8,23,"0:09:28,056","0:09:28,515"
5687,"Oh, of course!",Rachel,positive,573,3,6,17,"0:15:44,443","0:15:45,372"
5691,Say we are unagi!,Phoebe,positive,573,7,6,17,"0:16:03,880","0:16:05,104"
5713,"Aww, I don't want to see that!",Joey,negative,574,18,5,5,"00:21:10,227","00:21:12,937"
5725,Heads.,Joey,neutral,576,5,2,6,"00:16:06,507","00:16:07,840"
5751,"Y’know, birds have a very good sense of direction, and I thought maybe they could help us find where the presents are hidden.",Phoebe,neutral,580,0,6,10,"00:16:42,918","00:16:48,464"
5755,Didn’t think so!,Phoebe,neutral,582,0,6,18,"00:16:53,512","00:16:57,724"
5764,"Alright, no, we could look at them!",Phoebe,neutral,583,8,6,10,"00:17:32,342","00:17:34,761"
5774,"Mom no, come on! Thank you.",Ross,positive,584,8,8,23,"0:07:14,380","0:07:16,972"
5782,Thanks.,Ross,negative,585,6,3,6,"00:19:59,281","00:20:01,782"
5787,"Wait, wait, wait.",Ross,positive,585,9,3,6,"00:20:17,382","00:20:18,966"
5795,"Oh, I did!",Rachel,positive,587,2,3,11,"00:21:02,302","00:21:03,678"
5797,Oh my God!!,Rachel,positive,587,4,3,11,"00:21:05,097","00:21:06,305"
5799,I can’t believe I did this! What an idiot!,Chandler,negative,588,0,6,20,"0:13:49,787","0:13:52,290"
5807,"Oh my God! So was she! Oh, I’ve got-I’ve got goose bumps.",Phoebe,positive,589,1,7,13,"00:19:03,058","00:19:09,438"
5809,"Well, y’know I’m wearing layers and it’s warm.",Phoebe,neutral,589,3,7,13,"0:19:11,024","0:19:12,656"
5810,Yeah.,Joey,positive,589,4,7,13,"0:19:12,656","0:19:13,713"
5835,"Okay, I know. Hold on.  Hey Ross?",Phoebe,neutral,590,12,7,5,"00:08:55,117","00:08:59,162"
5857,So are you actually gonna see her again?,Phoebe,neutral,592,11,5,12,"00:11:41,325","00:11:43,243"
5860,Damnit Phoebe!!,Joey,negative,592,13,5,12,"00:11:46,455","00:11:48,498"
5870,"I-I-I-I-I don’t know, I don’t know what to say.",Phoebe,negative,593,9,3,13,"00:18:07,169","00:18:10,880"
5874,Please!,Joey,negative,594,2,7,4,"0:18:43,248","0:18:43,599"
5893,"Oh, I’ve been there. Yeah, I am gonna go drive my Porsche.",Joey,neutral,596,3,6,5,"00:13:48,410","00:13:55,750"
5905,"Okay, listen this really hurts. Let’s go.",Chandler,negative,596,15,6,5,"00:14:39,128","00:14:41,004"
5906,"A real man wouldn’t just run to the hospital!  No! What would, what would Krog do?",Phoebe,negative,596,16,6,5,"00:14:41,171","00:14:47,969"
5913,Hey!,Chandler,positive,597,1,6,14,"0:12:50,706","0:12:52,065"
5917,"Maybe one of those stories would make me cry and then you wouldn’t think I was y’know, all dead inside.",Chandler,neutral,597,5,6,14,"00:13:07,953","00:13:12,582"
5942,"I mean, everyone should have a-a",Ross,neutral,599,13,7,9,"00:05:31,664","00:05:35,375"
5943,Oh my God Ross!!,Phoebe,positive,599,14,7,9,"00:05:39,213","00:05:42,049"
5956,"Yeah, isn't he?",Angela,positive,602,1,1,5,"00:14:52,057","00:14:53,349"
5964,Awesome!,Ben,positive,603,3,7,10,"0:20:21,011","0:20:21,804"
5965,Yeah?,Ross,positive,603,4,7,10,"0:20:21,804","0:20:23,114"
5970,Wow! It looks like the Easter Bunny’s funeral in here.,Rachel,positive,603,9,7,10,"00:20:55,963","00:20:58,422"
5986,"Listen, can you promise me that you won’t tell her though?",Pete,negative,604,10,3,21,"00:07:50,553","00:07:53,054"
5989,"No I’m serious. I mean I’m intuitive, but my memory sucks.",Phoebe,neutral,604,13,3,21,"00:07:59,437","00:08:02,230"
5994,No problem. I cannot wait for you to meet my friends.,Ross,positive,605,4,1,24,"00:21:42,342","00:21:44,760"
6011,Come on.,Steve,neutral,606,10,2,5,"00:18:46,959","00:18:48,000"
6017,"Chandler? It's Alan, he wants to speak to you.",Rachel,neutral,607,4,1,3,"00:17:07,026","00:17:08,776"
6053,Thank you.,Ross,neutral,608,3,1,7,"0:20:58,674","0:20:59,526"
6063,"I mean... uh, did you know you were  mouthing the words along with me?",Ross,neutral,610,2,9,23,"00:30:46,803","00:30:50,764"
6095,That’s what you think.,Phoebe,neutral,613,1,7,3,"00:18:11,256","00:18:13,216"
6109,Rachel didn't you just light that?,Kim,neutral,614,3,5,18,"00:14:41,130","00:14:43,131"
6140,"I mean, what the hell is that thing?",Chandler,negative,615,12,1,3,"00:14:41,881","00:14:44,215"
6142,...Does the knuckle-cracking bother everybody?,Joey,negative,615,14,1,3,"00:14:56,645","00:14:59,898"
6153,Aw! Does that mean the,Joey,negative,616,2,7,11,"00:06:01,986","00:06:05,447"
6159,"Yeah, I don't like that word.",Phoebe,negative,617,3,7,10,"00:03:20,033","00:03:21,325"
6175,"Well then he gets a divorce, it’s Ross!",Rachel,neutral,619,5,8,24,"00:14:47,458","00:14:50,627"
6187,Oh but not before she gave me a juicy shot of little Jamie just crowning away.,Rachel,neutral,621,6,8,23,"00:09:02,238","00:09:08,411"
6209,Hey!,Chandler,positive,623,5,4,22,"0:12:12,274","0:12:13,442"
6213,"Y’know, one of them had never been to a bachelor party before.",Ross,positive,623,9,4,22,"00:12:19,989","00:12:23,074"
6226,"Well now let’s-let’s look at this objectively, I think I should date her",Ross,neutral,625,2,7,17,"00:10:52,693","00:10:58,740"
6232,"No Joey! Look why don’t, why don’t we just let her decide? Okay? Hey-hey, we’ll",Ross,neutral,625,8,7,17,"00:11:20,971","00:11:30,438"
6236,Look we’re gonna have to set a spending limit on the date.,Joey,neutral,625,12,7,17,"0:11:39,634","0:11:41,593"
6244,"Hi, again.",Monica,neutral,626,0,3,6,"00:10:54,945","00:10:56,237"
6266,"Yeah, that’s what I drive. I make four bucks an hour, I saved up for 350 years!",Gunther,negative,628,4,6,5,"00:01:47,982","00:01:55,614"
6270,You left a shoe here?!,Chandler,negative,628,8,6,5,"00:02:11,673","00:02:13,423"
6288,Uh huh?,Monica,neutral,629,11,2,2,"00:08:21,667","00:08:23,335"
6296,Thanks Monica!,Phoebe,positive,630,1,6,18,"00:11:38,239","00:11:40,865"
6297,Does that smell bother you?,Monica,negative,630,2,6,18,"00:11:41,033","00:11:43,702"
6298,"What the smell from Joey’s? No, I can hardly smell it over here.",Phoebe,negative,630,3,6,18,"00:11:43,869","00:11:45,745"
6304,Oh!  Hello?  Yeah this is Phoebe.  Really?!,Phoebe,negative,630,9,6,18,"00:11:59,218","00:12:07,642"
6307,It’s very not good leaving candles unattended.,Joey,neutral,630,12,6,18,"00:12:17,570","00:12:21,072"
6309,"Well, I have to go now.",Joey,neutral,630,14,6,18,"00:12:30,207","00:12:32,417"
6318,It’s wrong.,Monica,negative,632,7,9,1,"0:14:49,082","0:14:50,332"
6325,Sure?,Monica,neutral,632,14,9,1,"0:15:09,242","0:15:09,722"
6326,"Yeah, I mean whatever.",Rachel,neutral,632,15,9,1,"00:15:11,452","00:15:15,538"
6328,"No. No, I don’t. Could you be a dear and go tell him?",Rachel,negative,632,17,9,1,"00:15:22,254","00:15:32,055"
6345,"Fine, but I’ll have you know that once I taught him that stuff he called me Fun Aunt Rachel.",Rachel,negative,634,2,7,16,"00:17:44,104","00:17:49,859"
6378,Oh yeah? What are you gonna do?,Ross,negative,637,3,7,17,"0:14:27,867","0:14:28,952"
6384,Bye-bye!,Ross,neutral,637,9,7,17,"00:14:35,708","00:14:37,041"
6386,Yes. Yes. Just here  and there .,Ross,neutral,637,11,7,17,"00:14:42,172","00:14:44,841"
6391,"Dad, we-we can’t believe you’re selling the house.",Ross,negative,638,4,7,13,"00:06:06,491","00:06:08,867"
6404,"Ok, on three, Ben.",Ross,neutral,639,4,1,23,"0:16:34,201","0:16:35,343"
6416,It certainly did brighten up the inside of the filing cabinets.,Joanna,positive,640,5,4,9,"00:06:38,272","00:06:41,650"
6424,"Yes, I realize that",Rachel,neutral,640,13,4,9,"00:07:23,109","00:07:25,652"
6426,I love working with designers!,Rachel,positive,640,15,4,9,"00:07:30,658","00:07:32,409"
6439,Hey! What's she doing back here?,Ross,negative,643,4,7,8,"00:14:44,049","00:14:46,092"
6442,What happened in Atlantic City?!,Monica,positive,644,0,7,4,"0:13:06,994","0:13:08,496"
6450,"Oh Mon, I laughed so hard",Ross,positive,644,8,7,4,"00:13:46,492","00:13:48,159"
6453,"So umm, you’re gonna stay with me as long as I need you?",Rachel,neutral,645,0,8,20,"00:14:01,078","00:14:03,539"
6467,Hey! Why are you all red and sweaty?,Phoebe,positive,645,14,8,20,"00:14:43,704","00:14:46,957"
6474,"First of all um, I love you both so much and you’re both so important to me",Monica,positive,646,4,7,6,"00:00:16,433","00:00:23,063"
6478,Yes!!! Oh!!,Phoebe,positive,646,8,7,6,"0:00:31,281","0:00:32,672"
6484,Yeah that’s actually a pretty good idea.,Rachel,neutral,646,13,7,6,"0:00:45,420","0:00:47,472"
6486,"Well that’s the best part. Umm,",Monica,neutral,646,15,7,6,"00:00:50,967","00:00:54,678"
6501,Maybe on some level.,Phoebe,neutral,648,6,7,10,"00:09:22,103","00:09:23,937"
6519,I would like to meet him. He sounds like a stand up guy.,Joey,neutral,649,17,8,12,"00:05:19,736","00:05:23,530"
6525,"No-no-no-no, he’s not! No! Why are you trying to ruin the game? Come on!",Joey,negative,649,23,8,12,"00:05:39,547","00:05:48,930"
6526,Can you believe what a jerk Ross was being?,Rachel,negative,650,0,1,18,"00:08:35,681","00:08:38,433"
6556,Oh. Hel-lo!,Ross,positive,652,6,1,6,"00:02:14,342","00:02:15,509"
6574,"And I will cook anything you want in here , and do anything in there!",Chandler,negative,654,2,6,17,"00:20:11,043","00:20:18,633"
6575,"Yeah you will!  And, are you kiddin’ me?!",Monica,negative,654,3,6,17,"00:20:19,885","00:20:23,095"
6588,What?,Ross,positive,655,7,6,18,"00:20:42,074","00:20:43,886"
6595,Shut the book!,Elizabeth,positive,655,14,6,18,"00:21:12,479","00:21:14,355"
6607,"So uh, who’s your photographer?",Megan,neutral,657,8,7,17,"00:04:32,146","00:04:34,731"
6611,"I know! I almost called off my wedding. Oh, who’s your band?!",Megan,positive,657,12,7,17,"00:04:42,448","00:04:49,204"
6632,"Which, by the way, is the real San Francisco treat.  I got her machine.",Chandler,neutral,658,12,1,20,"00:02:20,014","00:02:30,232"
6640,"Yeah, well, does he look upset? Does he look like he was just told to shove anything?",Ross,neutral,658,20,1,20,"00:02:53,882","00:02:58,260"
6652,These people'll scooch down.,Ross,neutral,659,11,1,14,"0:15:41,198","0:15:42,033"
6664,Hm-mm,Rachel,neutral,660,2,6,23,"0:05:02,433","0:05:03,137"
6671,I already feel like I know you a little better!,Rachel,positive,660,9,6,23,"0:05:20,987","0:05:23,129"
6681,What about the birds?,Chandler,neutral,661,3,1,12,"00:12:12,523","00:12:14,232"
6696,Phoebe and Gary are,Monica,neutral,663,1,5,17,"00:14:11,642","00:14:15,520"
6703,Hey guys!  What 'cha been doin'?,Joey,neutral,663,8,5,17,"00:14:36,125","00:14:39,210"
6712,"Yeah, tell that to my Uncle Lenny.",Joey,neutral,664,6,3,15,"00:17:04,148","00:17:06,691"
6721,"Five? Okay, where am I giving birth, a hospital or a big box under the stairs?",Phoebe,neutral,665,6,4,12,"00:05:56,564","00:06:00,859"
6726,"Okay, well y’know what, don’t worry you guys, ‘cause I’m-I’m gonna do this as many times as it takes to get it right.",Phoebe,neutral,665,11,4,12,"00:06:26,469","00:06:31,348"
6743,Hey!,Joey,neutral,666,0,5,7,"0:11:00,451","0:11:01,035"
6762,No-no-no! We need something old!,Monica,negative,667,2,5,24,"00:18:00,954","00:18:02,455"
6766,"Okay, now we just need something borrowed!",Monica,positive,667,6,5,24,"00:18:13,467","00:18:15,593"
6771,"Okay, one thing at a time.",Chandler,neutral,668,1,3,21,"00:18:34,530","00:18:36,489"
6774,"Oh, that's great.",Barry,positive,669,2,1,2,"00:17:38,599","00:17:41,392"
6802,"Ok, but you know what? I gotta say, I'm really impressed that    you were able to memorize all this so quickly!",Ross,positive,671,8,9,21,"00:16:30,197","00:16:34,909"
6820,I’m sorry.,Ross,negative,672,8,4,1,"00:07:50,595","00:07:51,970"
6826,Are you sure?,Rachel,positive,672,14,4,1,"0:08:49,278","0:08:51,072"
6842,There are a couple of forms to fill out.,Russell,neutral,673,13,6,2,"0:16:02,419","0:16:04,421"
6852,"So, Phoebs owes $7.50, Monica, you owe $10, and Rachel, you owe fifteen big ones.",Ross,neutral,674,0,1,18,"00:12:06,600","00:12:12,731"
6859,This way I can break 'em up with a movie.,Chandler,neutral,674,7,1,18,"00:12:35,671","00:12:38,214"
6863,Great!,Julie,positive,675,1,2,1,"0:21:30,376","0:21:31,308"
6876,Ohh! Lucky me! Oh my God! That,Rachel,positive,676,8,5,5,"00:10:52,635","00:10:57,489"
6882,"Yeah, well that's how mad I am!!",Rachel,negative,676,14,5,5,"00:11:18,135","00:11:20,970"
6898,I’m gonna get coffee.,Phoebe,neutral,678,11,3,5,"00:04:32,272","00:04:33,855"
6904,"And, oh, um, my friend Larry, he wants me to take a picture of a hooker.",Frank,neutral,678,17,3,5,"00:04:51,541","00:04:55,585"
6911,"Op, but the twelfth brings a lover’s spat.",Rachel,negative,679,4,6,21,"00:00:12,220","00:00:20,853"
6915,Oh my God! It’s Joey Tribbiani of Mac and C.H.E.E.S.E.!!!!!!!,Rachel,positive,679,8,6,21,"00:00:32,824","00:00:35,200"
6918,"No! Joey, you’re going to be great!",Phoebe,neutral,679,11,6,21,"00:00:52,510","00:00:54,762"
6968,"What? Wait a minute, I didn’t pay, I thought you paid!",Rachel,neutral,684,1,7,11,"00:08:07,069","00:08:09,070"
6983,Okay. Sorry.,Monica,neutral,686,10,7,23,"0:13:00,125","0:13:00,537"
7000,The guy who took Rachel to the prom? Why is he calling you?,Ross,positive,689,6,4,2,"00:01:51,069","00:01:58,534"
7031,Oh does it matter?! All that matters is that you look so handsome.,Rachel,negative,694,3,7,20,"00:21:29,663","00:21:35,126"
7051,Yes.,Chandler,neutral,697,3,5,14,"00:14:44,717","00:14:45,967"
7053,"Hey-hey, check it out! Check it out! Ugly Naked Guy has a naked friend!",Joey,positive,697,5,5,14,"00:14:58,147","00:15:01,608"
7064,I won! I won! I finally won!,Phoebe,positive,699,0,5,24,"00:17:01,812","00:17:04,689"
7071,She sells drugs to kids.,Phoebe,negative,699,7,5,24,"0:17:20,122","0:17:20,763"
7072,It was my quarter!,The Lurker,negative,699,8,5,24,"0:17:24,918","0:17:26,520"
7075,"Okay lady, you're out of here.",The Security Guard,negative,699,11,5,24,"00:17:31,967","00:17:35,720"
7113,"Ok, I'm makin' a break for it, I'm goin' out the window.",Chandler,neutral,704,0,1,14,"00:04:24,222","00:04:26,765"
7134,"It's so good, isn't it?",Monica,neutral,706,7,5,13,"00:00:35,410","00:00:36,952"
7136,Say good-bye to sore muscles!,Monica,positive,706,9,5,13,"0:00:41,458","0:00:42,543"
7151,Hi Bob!,Phoebe,positive,707,13,5,10,"0:16:59,143","0:16:59,995"
7170,No!,Chandler,negative,712,11,8,20,"0:03:20,748","0:03:21,028"
7197,"Okay that’s, you know what that is?",Rachel,neutral,717,8,3,24,"0:17:29,465","0:17:31,107"
7209,Nice car!,Guy #1,positive,719,0,6,5,"00:03:18,072","00:03:19,114"
7210,"Yeah, it’s not mine.",Joey,neutral,719,1,6,5,"00:03:19,282","00:03:21,491"
7218,Sorry.,Joey,neutral,720,1,5,7,"00:09:20,059","00:09:21,810"
7219,Ahhh..,Joey,negative,720,2,5,7,"00:09:25,523","00:09:32,320"
7275,Uh-huh.,Phoebe,neutral,725,5,7,22,"0:16:08,342","0:16:08,968"
7281,Oh my God! You do a great Chandler!,Cassie,positive,726,4,7,19,"00:13:07,578","00:13:11,456"
7303,"I mean at least when I’ve seen her with clothes on, I could imagine her body was like covered in boles or something.",Chandler,neutral,728,7,4,7,"00:00:31,364","00:00:37,036"
7319,"Geez, sounds like you should be going on this date!",Joey,positive,730,9,9,21,"00:11:57,591","00:12:00,218"
7338,What?!,Phoebe,negative,733,11,6,1,"00:21:09,559","00:21:12,103"
7346,You dog!,Issac,positive,735,3,3,16,"00:08:47,485","00:08:49,110"
7362,I can promise not to tell her again.,Issac,neutral,735,19,3,16,"00:09:42,873","00:09:45,166"
7383,"Where is that book that you are reading with the two women who were ice-skating and wearing, wearing those hats with the flowers on it?",Chandler,neutral,737,6,7,12,"00:04:25,598","00:04:32,521"
7395,I can’t believe I still don’t know what happened to the,Phoebe,negative,738,8,7,13,"00:02:19,097","00:02:22,391"
7400,"Look, you and I have been given a gift.",Joey,neutral,739,1,5,24,"00:08:51,697","00:08:54,783"
7440,Count in our heads as-as good,Monica,negative,743,0,5,5,"00:21:43,343","00:21:47,346"
7442,Fun’s over,Chandler,positive,743,2,5,5,"0:21:49,017","0:21:50,405"
7465,Maybe you can tell me.,Joey,neutral,745,6,3,4,"00:02:11,047","00:02:13,924"
7483,"I mean, last year Elizabeth now-now this kid.",Ross,negative,747,10,7,18,"00:08:19,874","00:08:22,584"
7502,Take as much time as you want.,Richard,neutral,750,1,6,25,"00:14:55,311","00:14:57,520"
7516,Hello Ross.  I love what you’ve done with this space.,Susan,positive,752,9,6,16,"00:05:01,884","00:05:08,640"
7525,"And there, there are places you can go to get that stuff.",Monica,neutral,754,3,3,3,"00:11:21,597","00:11:25,809"
7546,You really sure?,Richard,neutral,756,8,3,13,"00:12:13,941","00:12:15,942"
7558,Right!,Chandler,positive,757,10,5,3,"0:19:10,274","0:19:10,413"
7562,He touched my fanny.,Girl,negative,758,3,3,5,"0:14:47,803","0:14:49,347"
7565,Are you being British?!,Janice,positive,759,0,3,4,"00:16:41,917","00:16:44,419"
7566,No. Not anymore.,Chandler,neutral,759,1,3,4,"00:16:46,255","00:16:48,256"
7578,"Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet.",Janice,negative,759,12,3,4,"00:17:25,085","00:17:31,257"
7581,Can I be that guy?,Chandler,positive,759,15,3,4,"00:17:42,311","00:17:44,479"
7654,"Can you just pick one so I can watch--have a perfect, magical weekend together with you.",Chandler,negative,770,5,5,5,"00:08:23,920","00:08:30,509"
7680,"I mean, there’s no way I can make myself taller now, y’know?",Joey,neutral,771,13,5,1,"00:15:53,953","00:15:57,956"
7709,"Hi, hi can I help you?",Rachel,positive,774,5,2,4,"0:01:11,581","0:01:13,249"
7713,What?,Rachel,negative,774,9,2,4,"00:01:21,414","00:01:22,956"
7749,No.,Phoebe,neutral,779,1,1,3,"0:02:47,918","0:02:48,085"
7751,"Alright, somebody.",Rachel,neutral,775,0,1,7,"00:05:34,667","00:05:36,001"
7774,I dropped a cup.,Gunther,neutral,782,11,3,19,"00:01:09,069","00:01:10,360"
7780,"Okay, and-and I promise that I’ll keep you safe and warm until you’re ready to have them take you home, so… Oh!",Phoebe,positive,783,5,4,12,"00:10:23,497","00:10:33,173"
7787,What about my children Drake?! Huh!?  No!! No!! No! God!,Phoebe/Waitress,negative,785,1,9,11,"00:22:53,121","00:23:03,756"
7806,Of the glare from the streetlight out of his apartment.,Chandler,neutral,788,2,6,13,"00:20:58,465","00:21:03,594"
7807,"Y’know so umm, he’s closed the drapes there so he can have a nice, pleasant conversation with your little sister.",Chandler,neutral,788,3,6,13,"00:21:03,804","00:21:13,771"
7817,"But sometimes when you, when you playfully punch me like that it-it feels like someone's hitting me with a very tiny but very",Joey,positive,789,8,5,15,"00:09:11,551","00:09:20,392"
7820,They made you head of the department!,Rachel,positive,791,0,8,12,"00:01:55,115","00:02:00,202"
7829,"Ooh, I miss dating.",Rachel,negative,791,9,8,12,"0:02:31,568","0:02:33,737"
7843,Hey!,Joey,positive,792,1,9,19,"0:09:18,986","0:09:19,197"
7850,"Oh screw her, that part is mine!",Rachel,negative,792,8,9,19,"0:09:46,218","0:09:47,352"
7857,How can I?,Joey/Drake,negative,792,15,9,19,"00:10:15,532","00:10:20,037"
7862,What?,Joey,negative,792,20,9,19,"00:10:40,057","00:10:41,767"
7863,"Come on, you know, Thanksgiving. Ooh, you got the bigger half. What'd you wish for?",Phoebe,positive,793,0,1,9,"00:20:57,923","00:21:09,433"
7886,"Well, I don’t know!!",Joey,negative,795,1,7,6,"0:05:00,302","0:05:01,517"
7888,"Yeah. Yep. Yeah. All right, well uh, I’d better go.",Joey,neutral,795,3,7,6,"00:05:04,762","00:05:10,976"
7891,Okay. But not about this!,Ross,negative,795,6,7,6,"0:05:15,189","0:05:16,491"
7894,"Umm ma’am, do you have a minute?  I kind of have some bad news. I don’t think I can move to Tulsa.",Chandler,negative,796,0,9,2,"00:13:27,223","00:13:34,395"
7901,"Not a fan, alright .",Chandler,neutral,796,7,9,2,"0:13:55,835","0:13:57,775"
7918,"I'm not too bad. Fortunately, blue's my colour. How-how did you know I was here?",Fake Monica,neutral,797,3,1,21,"00:17:44,354","00:17:49,776"
7924,"Well, actually, you only got to sing 'Memo-'.",Fake Monica,neutral,797,9,1,21,"00:18:17,930","00:18:20,056"
7937,"Maybe they can take the needle and thquirt it into my mouth, you know, like a thquirt gun.",Ross,negative,799,1,2,6,"00:09:24,230","00:09:30,860"
7938,"Doctor, can I see you for just a minute please? My brother has a slight phobia about needles.",Monica,neutral,799,2,2,6,"00:09:38,786","00:09:47,168"
7956,You’re gonna love me so much. I got Sting tickets!!,Ross,positive,802,0,8,10,"00:21:19,945","00:21:24,031"
7963,"Look honey, you don’t have to do this, okay?",Monica,negative,803,2,8,6,"00:14:55,227","00:14:57,395"
7964,It’s the strength you have inside that means the most to me.,Monica,positive,803,3,8,6,"00:14:57,563","00:15:00,440"
7965,"You’re loyal, you’re honest, and you have integrity!",Monica,positive,803,4,8,6,"00:15:00,608","00:15:04,903"
7976,": ‘Cause you’re a little princess! ""Daddy, buy me a pizza. Daddy, buy me a candy factory. Daddy, make the cast of",Mr. Treeger,negative,804,6,4,4,"00:01:21,748","00:01:34,510"
7980,"Okay, I’m sorry.",Rachel,negative,804,9,4,4,"00:01:48,942","00:01:50,651"
7996,Yeah. What-what did Tag say?,Joey,neutral,806,7,8,2,"0:17:44,438","0:17:46,293"
8004,Listen I uh…  It’s a scary world out there especially if you’re a single mom.,Joey,negative,806,15,8,2,"00:18:14,009","00:18:22,683"
8009,If I can’t have it you can’t have it!,Joey,negative,807,1,7,18,"00:14:25,281","00:14:27,991"
8012,"There is going to be a wedding, you are going to throw the bouquet, and",Chandler,neutral,808,2,7,1,"00:14:59,565","00:15:08,156"
8016,"Then we will sprinkle rose pedals on the bed and make love. Not just because it’s romantic, but because I can!",Chandler,positive,808,6,7,1,"00:15:21,211","00:15:29,135"
8033,"See? Now, that’s why only the little fake men are supposed to do all the kicking.",Chandler,negative,809,15,6,6,"00:09:22,812","00:09:26,565"
8043,Oh please!  Did you hear that? Little drops of heaven.,Monica,positive,810,9,7,9,"00:06:48,783","00:06:53,829"
8069,Hey!,Chandler,positive,812,4,5,19,"0:21:37,296","0:21:37,964"
8091,"Hello, Mrs. Chatracus.",Rachel,neutral,813,10,4,15,"0:18:23,227","0:18:26,861"
8095,"Okay, here we go.",Chandler,neutral,814,3,7,14,"00:18:34,196","00:18:36,697"
8109,No!,Chandler,neutral,817,2,5,23,"0:20:24,681","0:20:25,516"
8111,That was Joey!,Chandler,neutral,817,4,5,23,"00:20:27,935","00:20:29,518"
8116,She didn't feel anything for him.,Phoebe,neutral,817,9,5,23,"0:20:40,405","0:20:42,167"
8135,Secret? Married people aren’t supposed to have secrets between one another. We have too much love and respect for one another.,Chandler,negative,819,5,7,4,"00:06:01,235","00:06:09,534"
8180,Yes you did! What was it?,Elizabeth,positive,821,7,6,18,"00:10:14,488","00:10:16,406"
8192,"No. They said you 'Weren't believable as a human being.' So, you can work on that.",Phoebe,positive,822,4,3,4,"00:17:57,701","00:18:05,583"
8198,How's the maniac?,Ross,neutral,823,1,3,3,"00:16:01,418","00:16:02,669"
8227,"Oh, good. Thanks.",Monica,neutral,827,3,3,16,"0:05:00,717","0:05:01,969"
8255,"Hey, hey, hey, that's not the rule and you know it.",Ross,negative,828,15,1,5,"00:11:32,650","00:11:36,653"
8265,"All right, I’ll leave.",Chandler,negative,830,6,3,7,"00:22:31,516","00:22:33,559"
8285,She was totally at my mercy.,Ross,positive,832,10,4,10,"00:00:36,786","00:00:40,748"
8287,"No, I’m getting back down ‘cause she lives in Poughkeepsie.",Ross,neutral,832,12,4,10,"00:00:44,669","00:00:47,046"
8304,Yeah.,Monica,neutral,834,6,6,12,"00:04:14,087","00:04:16,713"
8306,"She’s cute, she’s outdoorsy, you know, and she knows how to build a fire.",Rachel,neutral,834,8,6,12,"00:04:23,721","00:04:29,768"
8307,"I mean, that’s got to come in handy",Rachel,neutral,834,9,6,12,"00:04:26,599","00:04:29,768"
8314,"Look, I wanted to tell I’m-I’m sorry you lost.",Monica,negative,835,0,8,6,"00:20:59,758","00:21:02,510"
8336,"Oh, I-I, I think that's the first time I ever missed a meal!  Yeah, my pants are a little loose!",Joey,negative,836,10,5,21,"00:03:18,239","00:03:23,243"
8344,You’re making one right now!,Phoebe,negative,839,1,6,14,"00:16:33,033","00:16:34,784"
8376,I’m not freaking out.,Chandler,neutral,841,1,6,22,"0:19:53,997","0:19:54,281"
8377,Why would I be freaking out?,Chandler,neutral,841,2,6,22,"00:19:59,114","00:20:00,573"
8382,"Chandler, please don’t think I was trying to pressure you. Phoebe and Rachel",Monica,negative,841,7,6,22,"00:20:18,926","00:20:24,055"
8402,And then whoever does gets the phone.,Rachel,neutral,842,2,7,15,"00:06:16,959","00:06:18,877"
8409,Did I use that already today? I’m sorry.,Phoebe,negative,842,6,7,15,"00:06:33,226","00:06:36,144"
8439,"I’m having lunch right here, with my good friend Joey, if he’ll sit with me.",Ross,neutral,844,2,4,11,"00:16:38,789","00:16:45,753"
8471,Yeah. You won't be able to take it.,Phoebe,neutral,846,0,5,3,"00:21:45,387","00:21:47,471"
8514,Okay! You get the vacuum cleaner and I’ll get the furniture polish!,Monica,positive,850,6,7,12,"00:21:42,968","00:21:46,429"
8543,"If it was, would you stop hanging out with her?",Phoebe,neutral,852,6,1,17,"00:19:41,680","00:19:44,473"
8545,"You know...  You're gonna be really, really hard to get over.",Phoebe,negative,852,8,1,17,"00:20:06,496","00:20:10,625"
